state,county,month,case_rate
Maryland,Anne Arundel,2020-03-30,0.1937656774
Maryland,Anne Arundel,2020-04-30,3.052690172
Maryland,Anne Arundel,2020-05-30,6.609171106
Maryland,Anne Arundel,2020-06-30,9.013627012
Maryland,Anne Arundel,2020-07-30,11.78799921
Maryland,Anne Arundel,2020-08-30,14.63811617
Maryland,Baltimore,2020-03-30,0.2247394653
Maryland,Baltimore,2020-04-30,3.436338922
Maryland,Baltimore,2020-05-30,7.213411871
Maryland,Baltimore,2020-06-30,9.6746715
Maryland,Baltimore,2020-07-30,14.0607159
Maryland,Baltimore,2020-08-30,18.61350249
Maryland,Baltimore city,2020-03-30,0.2472750935
Maryland,Baltimore city,2020-04-30,3.377257199
Maryland,Baltimore city,2020-05-30,9.06458435
Maryland,Baltimore city,2020-06-30,12.29217504
Maryland,Baltimore city,2020-07-30,17.92419066
Maryland,Baltimore city,2020-08-30,23.49764113
Maryland,Calvert,2020-03-30,0.1317494126
Maryland,Calvert,2020-04-30,1.646867658
Maryland,Calvert,2020-05-30,3.678004436
Maryland,Calvert,2020-06-30,4.556333853
Maryland,Calvert,2020-07-30,6.214180628
Maryland,Calvert,2020-08-30,8.640565644
Maryland,Caroline,2020-03-30,0.1216730038
Maryland,Caroline,2020-04-30,2.159695817
Maryland,Caroline,2020-05-30,7.69581749
Maryland,Caroline,2020-06-30,9.703422053
Maryland,Caroline,2020-07-30,12.7148289
Maryland,Caroline,2020-08-30,15.33079848
Maryland,Carroll,2020-03-30,0.4954573131
Maryland,Carroll,2020-04-30,2.602643235
Maryland,Carroll,2020-05-30,5.259010757
Maryland,Carroll,2020-06-30,6.679719679
Maryland,Carroll,2020-07-30,8.577977818
Maryland,Carroll,2020-08-30,10.08225785
Maryland,Cecil,2020-03-30,0.1268082367
Maryland,Cecil,2020-04-30,1.628998117
Maryland,Cecil,2020-05-30,3.570139587
Maryland,Cecil,2020-06-30,4.682150278
Maryland,Cecil,2020-07-30,6.047777442
Maryland,Cecil,2020-08-30,7.63775764
Maryland,Charles,2020-03-30,0.2092965732
Maryland,Charles,2020-04-30,3.583411027
Maryland,Charles,2020-05-30,6.887759956
Maryland,Charles,2020-06-30,8.84753696
Maryland,Charles,2020-07-30,11.54936545
Maryland,Charles,2020-08-30,15.12009184
Maryland,Frederick,2020-03-30,0.104639557
Maryland,Frederick,2020-04-30,3.722753469
Maryland,Frederick,2020-05-30,7.634663061
Maryland,Frederick,2020-06-30,10.04942207
Maryland,Frederick,2020-07-30,11.95708168
Maryland,Frederick,2020-08-30,14.02170063
Maryland,Garrett,2020-03-30,0.102124183
Maryland,Garrett,2020-04-30,0.1361655773
Maryland,Garrett,2020-05-30,0.3404139434
Maryland,Garrett,2020-06-30,0.3744553377
Maryland,Garrett,2020-07-30,1.531862745
Maryland,Garrett,2020-08-30,2.144607843
Maryland,Harford,2020-03-30,0.09560800717
Maryland,Harford,2020-04-30,1.677123792
Maryland,Harford,2020-05-30,3.441888258
Maryland,Harford,2020-06-30,4.457723334
Maryland,Harford,2020-07-30,6.847923514
Maryland,Harford,2020-08-30,9.807788069
Maryland,Howard,2020-03-30,0.304445861
Maryland,Howard,2020-04-30,2.749526682
Maryland,Howard,2020-05-30,6.054032798
Maryland,Howard,2020-06-30,8.064644004
Maryland,Howard,2020-07-30,11.02981984
Maryland,Howard,2020-08-30,13.86814323
Maryland,Kent,2020-03-30,0.1531159087
Maryland,Kent,2020-04-30,4.032052264
Maryland,Kent,2020-05-30,8.676568162
Maryland,Kent,2020-06-30,10.15668861
Maryland,Kent,2020-07-30,11.73888634
Maryland,Kent,2020-08-30,13.52523861
Maryland,Montgomery,2020-03-30,0.3278426893
Maryland,Montgomery,2020-04-30,4.159083502
Maryland,Montgomery,2020-05-30,10.85534254
Maryland,Montgomery,2020-06-30,14.20587559
Maryland,Montgomery,2020-07-30,16.76324085
Maryland,Montgomery,2020-08-30,19.21388899
Maryland,Prince George's,2020-03-30,0.3244309768
Maryland,Prince George's,2020-04-30,6.680629705
Maryland,Prince George's,2020-05-30,17.19153125
Maryland,Prince George's,2020-06-30,21.03614867
Maryland,Prince George's,2020-07-30,24.98118521
Maryland,Prince George's,2020-08-30,29.27272286
Maryland,Queen Anne's,2020-03-30,0.08104548678
Maryland,Queen Anne's,2020-04-30,1.053591328
Maryland,Queen Anne's,2020-05-30,3.221558099
Maryland,Queen Anne's,2020-06-30,4.66011549
Maryland,Queen Anne's,2020-07-30,7.679059872
Maryland,Queen Anne's,2020-08-30,11.0221862
Maryland,Somerset,2020-03-30,0.03885456735
Maryland,Somerset,2020-04-30,1.010218751
Maryland,Somerset,2020-05-30,2.836383417
Maryland,Somerset,2020-06-30,3.38034736
Maryland,Somerset,2020-07-30,4.54598438
Maryland,Somerset,2020-08-30,7.460076932
Maryland,St. Mary's,2020-03-30,0.08069505339
Maryland,St. Mary's,2020-04-30,1.362849791
Maryland,St. Mary's,2020-05-30,4.223041128
Maryland,St. Mary's,2020-06-30,5.711416557
Maryland,St. Mary's,2020-07-30,7.836386296
Maryland,St. Mary's,2020-08-30,9.934457684
Maryland,Talbot,2020-03-30,0.1074950955
Maryland,Talbot,2020-04-30,0.9405820859
Maryland,Talbot,2020-05-30,2.579882293
Maryland,Talbot,2020-06-30,3.681707022
Maryland,Talbot,2020-07-30,8.868345382
Maryland,Talbot,2020-08-30,12.68442127
Maryland,Washington,2020-03-30,0.04672554085
Maryland,Washington,2020-04-30,1.375065916
Maryland,Washington,2020-05-30,3.043835232
Maryland,Washington,2020-06-30,4.65920393
Maryland,Washington,2020-07-30,6.247872319
Maryland,Washington,2020-08-30,8.731001061
Maryland,Wicomico,2020-03-30,0.06851192107
Maryland,Wicomico,2020-04-30,3.973691422
Maryland,Wicomico,2020-05-30,9.22953451
Maryland,Wicomico,2020-06-30,10.44317426
Maryland,Wicomico,2020-07-30,12.42023255
Maryland,Wicomico,2020-08-30,15.14113456
Maryland,Worcester,2020-03-30,0.05818012567
Maryland,Worcester,2020-04-30,1.182995889
Maryland,Worcester,2020-05-30,4.092002172
Maryland,Worcester,2020-06-30,5.565898689
Maryland,Worcester,2020-07-30,10.06516174
Maryland,Worcester,2020-08-30,15.53409355
Maryland,Allegany,2020-03-30,0
Maryland,Allegany,2020-04-30,1.63941259
Maryland,Allegany,2020-05-30,2.459118885
Maryland,Allegany,2020-06-30,2.848132042
Maryland,Allegany,2020-07-30,3.667838337
Maryland,Allegany,2020-08-30,5.432290871
Maryland,Dorchester,2020-03-30,0
Maryland,Dorchester,2020-04-30,1.580856142
Maryland,Dorchester,2020-05-30,4.370602275
Maryland,Dorchester,2020-06-30,5.8274697
Maryland,Dorchester,2020-07-30,10.10508044
Maryland,Dorchester,2020-08-30,14.1967081
